resolution,iterations,loss,triangles,surface_cells,crease_cells,f1,normals_off,volume_error,seconds
16,400,6.378636317094788e-05,3172,0.09601834176545304,0.31503183217370223,0.310826111120045,72.841,-7.439207587424272,214.23017988000066
16,425,6.401370046660304e-05,3172,0.09385020992315651,0.3099214861884766,0.3194899278661848,72.137,-7.24021361089681,227.6195661225007
16,450,7.557932258350775e-05,3176,0.09371349394800844,0.30214410832242755,0.32486114547748746,71.72,-7.191175634474703,241.00895236500074
16,475,6.120569014456123e-05,3176,0.0908129266792634,0.29442668697360186,0.33414408474094465,70.884,-6.901077858506787,254.39833860750076
16,500,6.816592940595001e-05,3176,0.08916505661463096,0.2902423120816781,0.34008025930880387,70.409,-6.754135975830106,267.7877248500008
16,525,6.282465619733557e-05,3172,0.08852630833538784,0.2856813582269523,0.3484663724913569,69.826,-6.652246740758854,281.17711109250087
16,550,5.8064084441866726e-05,3172,0.08707074794152574,0.2816014979174872,0.3542368356431172,69.395,-6.515378145632266,294.5664973350009
16,575,5.321767821442336e-05,3176,0.0856375061113615,0.2805263205513909,0.36361344038715354,68.607,-6.353190618501738,307.9558835775009
16,600,5.403765680966899e-05,3176,0.08558127735222654,0.28045523671964473,0.3709655648845702,68.148,-6.317301919635555,321.34526982000096
16,625,5.0791873945854604e-05,3176,0.08368667359772983,0.27902446252892926,0.3779930805248399,67.316,-6.110394334228759,334.734656062501
16,650,6.371014751493931e-05,3172,0.08311159851199472,0.2750956284991282,0.38448040831718705,66.874,-6.046681645134624,348.12404230500107
16,675,5.990829595248215e-05,3176,0.08249350615275224,0.2716294670459097,0.39197797221974207,66.392,-5.944290299156754,361.5134285475011
16,700,4.9298734666081145e-05,3176,0.08080907537127413,0.2702320069602835,0.4018852751654476,65.57300000000001,-5.783155830786168,374.9028147900011
16,725,4.7511821321677417e-05,3176,0.08012320386296075,0.2692141239762069,0.4082313771692406,65.169,-5.674823545900717,388.29220103250117
16,750,6.59222569083795e-05,3180,0.08354827759328597,0.2713407591237148,0.4063961238574434,65.65299999999999,-5.891129529407765,401.6815872750012
16,775,5.027091901865788e-05,3180,0.08141294743017051,0.27032883903424787,0.4114861601642711,65.13600000000001,-5.77005446221454,415.0709735175013
16,800,4.868699761573225e-05,3176,0.07976585006518384,0.26862572272501417,0.41875079097866447,64.581,-5.580368715399224,428.4603597600013
16,825,4.395287760416977e-05,3176,0.07883983325002879,0.267841827693681,0.4248519862078704,64.102,-5.463400917721692,441.8497460025013
16,850,5.183983739698306e-05,3180,0.07848811439070565,0.2663694581234332,0.4321647988246455,63.696,-5.394051797777092,455.2391322450014
16,875,4.2725452658487484e-05,3180,0.07756581817570041,0.26493757097269843,0.4355728411725547,63.211,-5.328734769053567,468.6285184875014
16,900,4.3917760194744915e-05,3176,0.07716797025009904,0.264687496291071,0.43983023050693343,62.624,-5.278811617924715,482.0179047300015
16,925,4.389505920698866e-05,3184,0.07622651703672355,0.2618071050279945,0.4442681911278162,62.511,-5.1519252873043735,495.4072909725015
16,950,4.113476461498067e-05,3180,0.075878054973262,0.26220697270748544,0.45245091764913875,62.102999999999994,-5.107892191248343,508.7966772150015
16,975,3.962256960221566e-05,3176,0.07570062435927721,0.2610062419821307,0.4565703954183594,61.855000000000004,-5.05064769287967,522.1860634575016
16,1000,4.023896690341644e-05,3180,0.07508199936760059,0.2603361683076808,0.46217220890485056,61.387,-4.988123492094495,535.5754497000016
32,0,,11568,0.20990325609619087,0.5394047546914978,0.2956566611520021,38.243,-10.618209106306026,3.137385300011374
32,25,0.0001417409221176058,11568,0.15228093147762525,0.9430958224102729,0.320850143244169,41.964,-7.789257896362374,18.074387345000286
32,50,4.83384974359069e-05,11568,0.12857799822848465,0.7034427889434971,0.35904476973821553,39.45,-6.4409918579131205,36.14877469000057
32,75,6.313285848591477e-05,11568,0.11467148033803777,1.0179406525074228,0.39587225086474614,37.913000000000004,-5.573147112958709,54.22316203500086
32,100,4.5179931476013735e-05,11568,0.10655663245340156,0.8413170220174172,0.44491562741486207,36.489,-5.056697405497096,72.29754938000114
32,125,3.857835690723732e-05,11568,0.09943117443733579,0.7949893951502929,0.508606611375339,36.028999999999996,-4.558208008281287,90.37193672500143
32,150,3.883552199113183e-05,11568,0.09433650934986501,0.9898434687958596,0.5482469312400854,35.778,-4.22843137125566,108.44632407000172
32,175,3.43450483342167e-05,11580,0.09104142714998294,0.917962556929776,0.571682039588725,35.64,-4.00414197322638,126.52071141500201
32,200,3.155527519993484e-05,11568,0.08819157548817867,0.9636069921607805,0.6013332065434233,34.954,-3.800196763565325,144.5950987600023
32,225,3.0979004804976285e-05,11568,0.08547844010753833,0.9203317826565883,0.6275192359711657,34.241,-3.628921337237626,162.6694861050026
32,250,3.0775430786889046e-05,11568,0.0830983103392646,0.9338658084167929,0.6510244429771355,33.302,-3.4724759469748725,180.74387345000287
32,275,2.885230423999019e-05,11572,0.08112693944040075,0.9186118845431273,0.6665735141012471,32.618,-3.3427244775291696,198.81826079500314
32,300,2.8289336114539765e-05,11568,0.07993333105677748,0.9867341996848049,0.6765032898392246,32.202,-3.248562137260737,216.89264814000344
32,325,2.803333154588472e-05,11568,0.07817466797559527,0.962888112839897,0.6858261646331686,31.599,-3.138360573931793,234.96703548500372
32,350,2.8387266866047867e-05,11568,0.07682728830509328,0.9896174280932177,0.6950024188722669,30.745,-3.0515240850715575,253.04142283000402
32,375,2.7688649424817413e-05,11568,0.07498437010434263,1.048436556289602,0.7061504809298639,30.239,-2.947476583377799,271.1158101750043
32,400,2.652957664395217e-05,11568,0.0731872229303363,1.040536915774933,0.7168481463247958,29.693,-2.84607192976385,289.1901975200046
32,425,2.6781130145536736e-05,11568,0.07186677940051266,0.9956208114789284,0.7246470602032299,29.439,-2.7573347250784055,307.26458486500485
32,450,2.6995137886842713e-05,11568,0.0703306410320203,0.9984848767333213,0.735765571513982,29.115999999999996,-2.670922009270536,325.3389722100052
32,475,2.571139339124784e-05,11568,0.06909768115573199,1.0366313942958647,0.7441115745487037,28.891,-2.5844310582735024,343.41335955500546
32,500,2.538742592150811e-05,11568,0.06749333039592968,0.9933140545750746,0.754196470845568,28.59,-2.5008955557005126,361.48774690000573
32,525,2.4280081561300904e-05,11568,0.0665436842942298,1.00571748044505,0.7627050872075876,28.305999999999997,-2.4274185768863132,379.562134245006
32,550,2.4495097022736445e-05,11568,0.06538518038880879,1.0107979558205344,0.7702786229231569,28.134999999999998,-2.359281596346491,397.6365215900063
32,575,2.4599137759651057e-05,11568,0.06442808065162003,1.0095973496058734,0.7766736274105923,27.848,-2.2964552342525706,415.7109089350066
32,600,2.2839622033643536e-05,11568,0.06345067566789127,1.02013766075611,0.7827828258120553,27.493000000000002,-2.2436768859680476,433.7852962800069
