shape,system,primitives,method,crossing_median,surface_gradient,surface,crease,f1,edge_f1,normals,volume,min_angle
cube-hole,R0,quadratic,dc,0.07640377807693305,1.0,0.1252849119278835,1.754949977514964,0.20025494494519486,0.0,7.1499999999999995,-3.282404929497713,0.3033397932975796
cube-hole,R0,normalised,mc,0.0132856888685986,1.0,0.04719886864568602,0.4002185123273083,0.9217717832812635,0.0,6.214,-0.6074475962441812,0.5541172209361701
cube-hole,R0,normalised,dmc,0.0132856888685986,1.0,0.06054687023095201,0.34600570597586855,0.8765733080112466,0.0,10.678,-0.7514670488340139,17.02045366210999
cube-hole,R0,normalised,dc,0.0132856888685986,1.0,0.5127783734284251,1.1231617354863817,0.6779057641776152,0.12116177850956023,18.722,-0.8252746023799644,0.05439636629710391
cube-hole,R-alpha(0.5),quadratic,mc,0.04065927245221021,1.0,0.0825812724683027,0.41888069702344727,0.6657195194293223,0.0,4.077999999999999,-1.5331521134798856,0.48185949222057683
cube-hole,R-alpha(0.5),quadratic,dmc,0.04065927245221021,1.0,0.09378128318176877,0.40924147022260754,0.6485067867053093,0.0,9.161999999999999,-1.6489248060761803,14.356415488994765
cube-hole,R-alpha(0.5),quadratic,dc,0.04065927245221021,1.0,0.4227037377537116,1.4900612989748079,0.44453042948339677,0.0,12.581999999999999,-2.0962387328413405,0.508645724339242
cube-hole,R-alpha(0.5),normalised,mc,0.006615165496082764,1.0,0.04059312516408494,0.3987154941904877,0.9442033065404329,0.0,5.622,-0.350125935689022,0.7765833096913025
cube-hole,R-alpha(0.5),normalised,dmc,0.006615165496082764,1.0,0.05521511214130773,0.33512034244172045,0.8970270480903737,0.0,10.575,-0.5060545858441645,17.253479540046026
cube-hole,R-alpha(0.5),normalised,dc,0.006615165496082764,1.0,1.0611896232622704,0.8161848370286217,0.806778243336942,0.1628121194949273,18.666,-0.4196566883253294,0.010528837647547664
cube-hole,R-p(8),quadratic,mc,8.624634072723625e-05,1.0,0.06068556805835539,0.40745608217446055,0.881853664476556,0.0,10.693999999999999,-0.42709358143030335,0.5022632808421779
cube-hole,R-p(8),quadratic,dmc,8.624634072723625e-05,1.0,0.0727419924886884,0.3838866457550958,0.866864657570585,0.0,11.516,-0.5693499342517387,14.02435628452344
cube-hole,R-p(8),quadratic,dc,8.624634072723625e-05,1.0,6.0693356918738495,8.718375139004996,0.20777047602101692,0.00043688728213556557,46.672999999999995,-5.596606091100888,0.12918970910001065
cube-hole,R-p(8),normalised,mc,4.881749449126005e-10,1.0,0.037010768384613923,0.3992833274862652,0.9541912451533126,0.0,5.465,-0.09356266270820687,0.541265569851634
cube-hole,R-p(8),normalised,dmc,4.881749449126005e-10,1.0,0.05190681000915605,0.32639420775381794,0.9053424595930312,0.0,10.737,-0.26154844398152305,17.46474342691374
cube-hole,R-p(8),normalised,dc,4.881749449126005e-10,1.0,0.014723388357621254,1.3484986752221,0.9841787982850061,0.49452022187142464,1.476,-0.04137020243979286,0.3287493815958464
cube-hole,min/max,quadratic,mc,9.059419880941277e-14,1.0,0.04513657159488292,0.4003117810613701,0.941819991400224,0.0,6.5280000000000005,-0.12461201651327938,0.5216108007642996
